date,Zone,Avg_Pressure_PSI,Avg_Temperature_C,Total_Flow_LPM,Reading_Count,External_Rainfall_mm,Max_Outdoor_Temp_C,Capacity_Rating,Target_Flow_LPM,Total_Assigned_Staff,Total_Active_Shifts
2026-06-25,Zone_Central,204.84513605007714,67.02871716938789,145185.73410982746,142,2.4,23.9,Medium,100000,6,2
2026-06-25,Zone_East,199.99443072055402,63.92327180053648,126096.6589246336,126,2.4,23.9,High,110000,9,2
2026-06-25,Zone_North,204.48453666334674,64.07455360215718,155920.24034537855,157,2.4,23.9,Medium,105000,5,2
2026-06-25,Zone_South,203.25548901297475,64.63951286649947,138135.39229696072,144,2.4,23.9,High,115000,10,2
2026-06-25,Zone_West,198.15228475320365,64.95025400215204,145054.50334590793,148,2.4,23.9,High,120000,8,2
2026-06-26,Zone_Central,197.3786423598597,67.12697254249215,146559.91713512645,146,0.6,24.7,Medium,100000,6,2
2026-06-26,Zone_East,205.1241922449494,65.6087067604598,153342.25801694026,149,0.6,24.7,High,110000,9,2
2026-06-26,Zone_North,203.33914044021282,64.74035359134416,148491.34285643994,149,0.6,24.7,Medium,105000,5,2
2026-06-26,Zone_South,200.76383818344019,65.27797828778573,146133.01640959084,150,0.6,24.7,High,115000,10,2
2026-06-26,Zone_West,198.68658137799082,64.20945623510583,120950.1254159817,122,0.6,24.7,High,120000,8,2
2026-06-27,Zone_Central,203.4312631356903,66.11662606049131,139410.31593968527,138,0.2,24.9,Medium,100000,6,2
2026-06-27,Zone_East,194.27363629857163,64.6816401295866,122321.27967599669,122,0.2,24.9,High,110000,9,2
2026-06-27,Zone_North,199.66765033549862,64.11442826594667,143967.09330766904,144,0.2,24.9,Medium,105000,5,2
2026-06-27,Zone_South,198.7619246160854,64.75472721337337,156246.0980311066,157,0.2,24.9,High,115000,10,2
2026-06-27,Zone_West,195.7963976236496,63.87347673721667,153114.5723924747,154,0.2,24.9,High,120000,8,2
2026-06-28,Zone_Central,199.53281636858387,64.53210223022211,144768.84924833628,140,0.0,24.4,Medium,100000,6,2
2026-06-28,Zone_East,203.697396826961,65.8282758148999,132536.8285636966,135,0.0,24.4,High,110000,9,2
2026-06-28,Zone_North,201.4735559978896,65.30772704995809,144348.59181629625,145,0.0,24.4,Medium,105000,5,2
2026-06-28,Zone_South,201.00717890210385,66.96378193349526,134412.62649205214,136,0.0,24.4,High,115000,10,2
2026-06-28,Zone_West,195.86791679312373,63.649540974448385,161399.47567519103,162,0.0,24.4,High,120000,8,2
2026-06-29,Zone_Central,199.40051708638342,64.08940862130731,145430.1421887281,147,0.1,23.4,Medium,100000,6,2
2026-06-29,Zone_East,204.56890304765648,65.12123108334637,144556.9668014348,144,0.1,23.4,High,110000,9,2
2026-06-29,Zone_North,199.4844691386416,65.1408177222914,149890.66312556615,149,0.1,23.4,Medium,105000,5,2
2026-06-29,Zone_South,197.56103349226618,65.51777523124572,132768.9543878937,135,0.1,23.4,High,115000,10,2
2026-06-29,Zone_West,192.52124902889463,66.34170276719257,141049.0478380953,139,0.1,23.4,High,120000,8,2
2026-06-30,Zone_Central,195.1734026934638,64.1657278788473,145267.28807336552,144,0.9,22.6,Medium,100000,6,2
2026-06-30,Zone_East,199.27210020120685,64.82772019005496,148081.64195353075,150,0.9,22.6,High,110000,9,2
2026-06-30,Zone_North,199.47850193357243,65.0810906853127,155022.20403866854,158,0.9,22.6,Medium,105000,5,2
2026-06-30,Zone_South,198.32367120167473,65.32805631429657,142812.68004731697,140,0.9,22.6,High,115000,10,2
2026-06-30,Zone_West,201.31439128166016,63.59300389837798,128973.50977839061,125,0.9,22.6,High,120000,8,2
2026-07-01,Zone_Central,197.97509059656642,63.54622859896164,134961.2390684425,136,0.1,23.0,Medium,100000,6,2
2026-07-01,Zone_East,201.67517807218437,65.2885130748873,126733.38656647874,133,0.1,23.0,High,110000,9,2
2026-07-01,Zone_North,207.2567638764694,65.88818571594409,140354.1333652785,135,0.1,23.0,Medium,105000,5,2
2026-07-01,Zone_South,201.47770378400241,63.5049198704958,137606.32284470418,136,0.1,23.0,High,115000,10,2
2026-07-01,Zone_West,199.6878540938155,63.87229328234921,135155.75919723135,132,0.1,23.0,High,120000,8,2
